material_name,mass_required_kg,mass_recycled_kg,price_virgin_usd_per_kg,price_recycled_usd_per_kg
aluminium,75.84857733946524,63.48525923313241,3.3,1.117477786
copper,61.357921876529836,53.01324450132178,8.8,7.11
iron,59.2162348333375,0.0,1.0,0.3
lithium,7.3600122836099136,6.02785006027652,30.0,8.37
phosphorus,32.84361741392836,0.0,2.5,1.0
steel,118.59297943724542,101.39699741884483,1.0,0.33
