Indicator,Mean,CI_Lower,CI_Upper
PCI,0.239790,0.192521,0.287326
CI,0.373566,0.354084,0.391186
CEI,0.418268,0.381631,0.453668
ECPI,0.091764,0.090186,0.093363
M,0.584337,0.562094,0.603305
R,0.618871,0.618052,0.620238
E,0.650916,0.650377,0.651376
