material,M,F_u,F_r,C_u,C_r,E_cp,E_fp,C_fp,C_cp,E_ms,E_rfp,X
TOTAL_BATTERY_MASS,606.3035758550379,0,0,0,0,0,0,0,0,0,0,0
steel,118.59297943724542,0,0.95,0,0.9,0.815,0.85,0.5,0.5,0.99,0.95,1
aluminium,75.84857733946524,0,0.93,0,0.9,0.85,1.0,0.9,0.9,0.99,0.93,1
copper,61.357921876529836,0,0.96,0,0.9,0.96,0.98,0.5,0.5,0.99,0.96,1
lithium,7.3600122836099136,0,0.91,0,0.9,1.0,0.62,0.5,0.5,0.99,0.91,1
iron,59.2162348333375,0,0.0,0,0.9,1.0,0.9,0.5,0.5,0.99,0.9,1
phosphorus,32.84361741392836,0,0.0,0,0.9,1.0,0.9,0.5,0.5,0.99,0.9,1
