Indicator,Mean,CI_Lower,CI_Upper
PCI,0.398117,0.351085,0.446179
CI,0.581622,0.547835,0.618789
CEI,0.569313,0.526914,0.616475
ECPI,0.121984,0.118026,0.126092
M,0.613476,0.591973,0.634018
R,0.620158,0.618524,0.623691
E,0.638287,0.636950,0.639669
