material,M,F_u,F_r,C_u,C_r,E_cp,E_fp,C_fp,C_cp,E_ms,E_rfp,X
TOTAL_BATTERY_MASS,438.2352064,0,0,0,0,0,0,0,0,0,0,0
STL,99.7861565,0,0.95,0,0.9,0.815,0.85,0.5,0.5,0.99,0.95,1
Al,53.0702835,0,0.93,0,0.9,0.85,1,0.9,0.9,0.99,0.93,1
Cu,33.70028737,0,0.96,0,0.9,0.96,0.98,0.5,0.5,0.99,0.96,1
Co,6.594749566,0,0.84,0,0.9,1,0.45,0.5,0.5,0.99,0.84,1
Ni,52.54314374,0,0.84,0,0.9,1,0.94,0.5,0.5,0.99,0.84,1
Mn,6.147932089,0,0.84,0,0.9,1,0.75,0.5,0.5,0.99,0.84,1
Li,7.76603295,0,0.91,0,0.9,1,0.62,0.5,0.5,0.99,0.91,1
